0,1.197814941
0.003333333,-0.161590576
0.006666667,-0.044677734
0.01,0.022903442
0.013333333,0.074920654
0.016666667,0.158055623
0.02,0.208251953
0.023333333,0.198455811
0.026666667,0.108250936
0.03,0.081695557
0.033333333,0.02398173
0.036666667,0.02549235
0.04,-0.06578064
0.043333333,-0.156570435
0.046666667,-0.238688151
0.05,-0.276870728
0.053333333,-0.285130819
0.056666667,-0.30657959
0.06,-0.275436401
0.063333333,-0.238454183
0.066666667,-0.083669027
0.07,-0.038131714
0.073333333,-0.029261271
0.076666667,-0.00100708
0.08,-0.006027222
0.083333333,-0.009791056
0.086666667,-0.009470622
0.09,0.023223877
0.093333333,-0.011789958
0.096666667,0.045781453
0.1,0.056762695
0.103333333,0.067982992
0.106666667,0.054163615
0.11,0.084243774
0.113333333,0.088775635
0.116666667,0.124613444
0.12,0.048202515
0.123333333,0.027699788
0.126666667,0.068827311
0.13,0.146759033
0.133333333,0.201568604
0.136666667,0.161214193
0.14,0.149002075
0.143333333,0.145523071
0.146666667,0.157831828
0.15,0.184631348
0.153333333,0.21421814
0.156666667,0.227259318
0.16,0.240600586
0.163333333,0.239659627
0.166666667,0.215911865
0.17,0.211257935
0.173333333,0.25100708
0.176666667,0.225738525
0.18,0.298217773
0.183333333,0.297368368
0.186666667,0.271072388
0.19,0.22593689
0.193333333,0.271799723
0.196666667,0.334477743
0.2,0.324859619
0.203333333,0.32850647
0.206666667,0.295501709
0.21,0.3462677
0.213333333,0.289703369
0.216666667,0.346476237
0.22,0.344100952
0.223333333,0.426605225
0.226666667,0.37491862
0.23,0.428451538
0.233333333,0.394668579
0.236666667,0.414683024
0.24,0.397247314
0.243333333,0.466018677
0.246666667,0.484298706
0.25,0.524902344
0.253333333,0.531956991
0.256666667,0.565048218
0.26,0.52166748
0.263333333,0.539815267
0.266666667,0.550282796
0.27,0.563171387
0.273333333,0.571746826
0.276666667,0.581034342
0.28,0.595291138
0.283333333,0.624516805
0.286666667,0.615239461
0.29,0.630172729
0.293333333,0.596750895
0.296666667,0.60975647
0.3,0.626678467
0.303333333,0.602630615
0.306666667,0.5597229
0.31,0.607452393
0.313333333,0.605122884
0.316666667,0.542322795
0.32,0.503890991
0.323333333,0.497609456
0.326666667,0.530822754
0.33,0.500930786
0.333333333,0.541559855
0.336666667,0.565007528
0.34,0.52192688
0.343333333,0.524302165
0.346666667,0.48991394
0.35,0.507736206
0.353333333,0.485168457
0.356666667,0.471974691
0.36,0.4740448
0.363333333,0.482004801
0.366666667,0.477956136
0.37,0.466079712
0.373333333,0.43939209
0.376666667,0.475479126
0.38,0.522491455
0.383333333,0.508092244
0.386666667,0.448023478
0.39,0.449905396
0.393333333,0.492940267
0.396666667,0.464406331
0.4,0.476608276
0.403333333,0.437678019
0.406666667,0.47567749
0.41,0.468795776
0.413333333,0.489217122
0.416666667,0.527699788
0.42,0.496536255
0.423333333,0.489273071
0.426666667,0.473648071
0.43,0.503646851
0.433333333,0.493011475
0.436666667,0.587320964
0.44,0.53553772
0.443333333,0.529764811
0.446666667,0.515853882
0.45,0.513687134
0.453333333,0.511891683
0.456666667,0.489634196
0.46,0.502731323
0.463333333,0.505701701
0.466666667,0.50239563
0.47,0.527572632
0.473333333,0.522165934
0.476666667,0.552103678
0.48,0.564712524
0.483333333,0.512924194
0.486666667,0.545801799
0.49,0.472961426
0.493333333,0.53276062
0.496666667,0.509394328
0.5,0.537872314
0.503333333,0.508839925
0.506666667,0.487467448
0.51,0.506225586
0.513333333,0.579600016
0.516666667,0.574315389
0.52,0.574417114
0.523333333,0.532002767
0.526666667,0.531514486
0.53,0.635665894
0.533333333,0.572077433
0.536666667,0.616953532
0.54,0.554626465
0.543333333,0.598495483
0.546666667,0.561304728
0.55,0.522460938
0.553333333,0.561599731
0.556666667,0.583902995
0.56,0.559539795
0.563333333,0.575083415
0.566666667,0.559285482
0.57,0.528686523
0.573333333,0.550262451
0.576666667,0.567214966
0.58,0.535858154
0.583333333,0.5859375
0.586666667,0.559916178
0.59,0.542663574
0.593333333,0.550532023
0.596666667,0.540771484
0.6,0.552749634
0.603333333,0.511952718
0.606666667,0.583953857
0.61,0.562866211
0.613333333,0.54015096
0.616666667,0.554631551
0.62,0.575637817
0.623333333,0.545389811
0.626666667,0.594538371
0.63,0.552444458
0.633333333,0.599110921
0.636666667,0.528925578
0.64,0.603744507
0.643333333,0.5918986
0.646666667,0.583241781
0.65,0.583724976
0.653333333,0.544667562
0.656666667,0.610565186
0.66,0.603439331
0.663333333,0.572138468
0.666666667,0.58555603
0.67,0.547470093
0.673333333,0.592992147
0.676666667,0.537780762
0.68,0.528442383
0.683333333,0.558268229
0.686666667,0.564915975
0.69,0.572525024
0.693333333,0.574106852
0.696666667,0.584457397
0.7,0.569992065
0.703333333,0.557250977
0.706666667,0.519734701
0.71,0.495605469
0.713333333,0.513036092
0.716666667,0.533548991
0.72,0.497955322
0.723333333,0.538533529
0.726666667,0.543095907
0.73,0.562896729
0.733333333,0.552800496
0.736666667,0.492121379
0.74,0.451950073
0.743333333,0.495666504
0.746666667,0.493896484
0.75,0.499725342
0.753333333,0.502466838
0.756666667,0.501815796
0.76,0.518081665
0.763333333,0.542215983
